ID,TARGET
56684156,1
520634651,1
1152671639,1
458686681,1
598672695,1
624745518,1
44558177,1
511471261,1
433947132,1
510292329,1
1152421077,1
632826157,1
1154288451,1
1154426333,1
590086395,1
749732553,1
734518045,1
756763653,1
481692618,1
469027754,1
466741910,1
3426024787,1
411206215,1
588181346,1
575422787,1
569726675,1
336870067,1
448162284,1
430640305,1
827111679,1
636826125,1
636127826,1
5421693376,1
359963997,1
648012506,1
449477217,1
462308280,1
16607817,1
131114878,1
722875584,1
815387742,1
433051795,1
568290993,1
65839978,1
734133168,1
8299832763,1
433049109,1
754636135,1
4100634105,1
566117382,1
497423971,1
733203399,1
467622202,1
633668073,1
75140732,1
5113754912,1
88838053,1
596303574,1
572104892,1
1154266545,1
5417419840,1
434406459,1
1154262635,1
59515319,1
634376173,1
5113489255,1
471251968,1
4108863627,1
443083390,1
634379004,1
6165034650,1
1152753265,1
432939530,1
444061715,1
3151440762,1
7402737492,1
465444100,1
75955803,1
1147275031,1
446834873,1
466400048,1
64720615,1
1152635157,1
635208844,1
1152740812,1
643124745,1
7396155145,1
87637330,1
714730000,1
438966534,1
5116837198,1
57032126,1
7299725323,1
814374990,1
4424641614,1
4426310617,1
587320308,1
565189293,1
5119704627,1
518254782,1
411748914,1
85919612,1
5108161908,1
6408154307,1
4394965769,1
610860814,1
614457764,1
5101836915,1
7401065239,1
345487008,1
451336658,1
573282715,1
366970751,1
561803446,1
88899136,1
3391953162,1
568309759,1
55703331,1
435578795,1
1154047992,1
565040082,1
4399280657,1
632324480,1
5385240088,1
493914054,1
573783158,1
1138073395,1
433192508,1
311975374,1
445463076,1
379972617,1
5390178618,1
567070340,1
646270992,1
5108047290,1
65839616,1
483742885,1
334521081,1
644179228,1
89175556,1
756478776,1
85863229,1
567451418,1
820934469,1
1392576319,1
3114069396,1
3411749519,1
735754533,1
1153356836,1
750782133,1
463657307,1
434416223,1
512041634,1
736365310,1
1152627591,1
5119855064,1
4381635988,1
5124369917,1
4434040426,1
617750291,1
648871943,1
1152456414,1
6378021961,1
8424155026,1
49779282,1
421046571,1
1129555985,1
456715981,1
648845408,1
636031560,1
369355206,1
817672221,1
3151795408,1
593099007,1
5404418706,1
575073937,1
752675977,1
820961941,1
1153839564,1
640226889,1
595914652,1
87009940,1
572087876,1
639526727,1
435317470,1
610149614,1
4299612288,1
4396351964,1
599470027,1
524689202,1
455985309,1
526825768,1
86823933,1
46399498,1
1396373068,1
1129756955,1
1153732053,1
59853406,1
5384615418,1
5113467735,1
747125281,1
590894402,1
494443623,1
567142681,1
76240696,1
528547268,1
3403646374,1
1152920177,1
5114845397,1
469240166,1
424882917,1
514682792,1
6432625661,1
810793307,1
3151481738,1
5101844791,1
87651171,1
578871907,1
6429084444,1
436614240,1
566371983,1
8428094677,1
453639855,1
585059442,1
638060325,1
1150678066,1
131704412,1
132129533,1
442935621,1
561693704,1
364888659,1
346176203,1
563146136,1
449916531,1
563179697,1
473975477,1
436359703,1
374646591,1
637857042,1
6393773764,1
587529792,1
5112989915,1
436073949,1
575375633,1
6436963262,1
6397056536,1
5377853601,1
449278392,1
5417863967,1
1011107361,1
569511817,1
5436003797,1
1154310718,1
416860792,1
439544845,1
433901636,1
5442989192,1
562926489,1
5121811037,1
516771138,1
86644256,1
755029683,1
593644215,1
564237681,1
813043164,1
1154275391,1
1026493662,1
3410373357,1
3151576209,1
611982936,1
817300627,1
472594646,1
648512596,1
10153991338,1
642418067,1
824913869,1
1153293183,1
4380005323,1
1144083011,1
387056857,1
1153864963,1
1436835899,1
521769702,1
434268079,1
643412413,1
635213433,1
6297766488,1
4428597304,1
106892138,1
5418579898,1
1410864311,1
810817267,1
155064636,1
753211309,1
1152431834,1
618808416,1
648107729,1
8392057007,1
561734466,1
451532692,1
5108554385,1
450201551,1
3109777847,1
1131594620,1
10444064550,1
8398159823,1
1380175456,1
519587892,1
155062974,1
7220945707,1
410020273,1
758630691,1
472979807,1
10445470055,1
10152470653,1
84933763,1
449838544,1
511641265,1
5439346831,1
576610420,1
3151485838,1
758586554,1
811051754,1
575502646,1
47383488,1
10152794698,1
1153112004,1
387062868,1
335684335,1
1440968912,1
1135400378,1
1153087138,1
475718396,1
6212899789,1
84929735,1
760741162,1
158209429,1
647607408,1
830149843,1
519598211,1
567067720,1
1148500898,1
1154379021,1
1153833618,1
57335876,1
1143267003,1
1150687938,1
640202371,1
4439351757,1
1297226454,1
1049524414,1
1153325167,1
5102587460,1
829326236,1
433254711,1
573734002,1
1132332674,1
392191971,1
120443263,1
728261767,1
1150703844,1
755089283,1
4381734637,1
1147305531,1
5403943809,1
1145505619,1
733707545,1
5403925809,1
567463242,1
5118494537,1
5123193344,1
1154064171,1
573837617,1
1034916656,1
722886877,1
1152849601,1
634298624,1
1153162758,1
5426304588,1
491292904,1
593748328,1
562885413,1
525046603,1
755571740,1
516771473,1
1384109980,1
4438276326,1
378096778,1
7296927805,1
3151828234,1
85814086,1
10441396101,1
3300266772,1
331426369,1
1153204106,1
569823112,1
743816341,1
1134046681,1
511658582,1
3100897253,1
582409651,1
749569734,1
5119251160,1
371707944,1
647984729,1
335015645,1
345002095,1
1129516722,1
752274943,1
1150642347,1
585049663,1
562189951,1
5108082657,1
3107566869,1
642415867,1
434501487,1
336373329,1
451494572,1
5413251697,1
5408988862,1
1394579070,1
8413414778,1
3151614330,1
528521614,1
410706078,1
1433322442,1
77215749,1
1396275050,1
637647081,1
5410803556,1
57678941,1
731963201,1
1032810432,1
593287996,1
722902692,1
7213808158,1
1152571389,1
7220077848,1
5104892500,1
5407535602,1
128378303,1
1046050450,1
1132563923,1
748175393,1
10391649334,1
757178468,1
749235064,1
572401366,1
738539205,1
439653126,1
577054138,1
8410316473,1
750311228,1
1152841609,1
587602937,1
755160949,1
736903032,1
87519218,1
116265846,1
742085748,1
87318453,1
1148898466,1
1133059971,1
59495678,1
1137445160,1
7426024066,1
344934178,1
5401998015,1
1152679017,1
1154162665,1
1146418878,1
373188282,1
3395531067,1
1046059413,1
1060008422,1
1134697429,1
5121116715,1
820018657,1
1136295632,1
1153369916,1
3151817737,1
1146736175,1
7165121257,1
636564201,1
1045850801,1
1151258115,1
1142717105,1
1407454704,1
377936182,1
1152833565,1
451922169,1
1154432662,1
1152374141,1
1152402578,1
757749490,1
488400843,1
1146529112,1
1144788185,1
7397727075,1
450666475,1
10445587968,2
1434801345,2
3109801997,2
1153465103,2
491641503,2
1384840138,2
1023731707,2
4403485157,2
